sale_date_previous,sale_date_projected,sale_time,file_number,property_address,place_of_sale,loan_date,trustor,county,original_loan_amount,file_status,opening_bid_amount,max_bid_amount,sale_notation
,01/28/2026,09:00 AM,125584-CA,"12846 Tarragon Way, Riverside CA, 92503","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,From 10/29/2025 to 01/28/2026
,01/15/2026,09:00 AM,125912-CA,"325 Kitty Hawk Rd, Alameda CA, 94501","at the Fallon Street Steps Alameda County Courthouse, 1225 Fallon Street, Oakland, CA 94612",,,,,,,,From 10/30/2025 to 01/15/2026
,11/19/2025,09:00 AM,126766-CA,"32247 Whispering Springs RD, Tollhouse CA, 93667","WEST ENTRANCE TO THE COUNTY COURTHOUSE BREEZEWAY, FRESNO SUPERIOR COURTHOUSE, 1100 VAN NESS AVENUE, FRESNO, CA 93724",,,,,,,,From 09/10/2025 to 11/19/2025
,11/20/2025,01:30 PM,127875-CA,"245 5Th St Ste 201, San Francisco CA, 94103","Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102",,,,,,,,From 09/18/2025 to 11/20/2025
,11/20/2025,12:00 PM,133334-CA,"9835 Lyndhurst Street, Oakland CA, 94603","At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612",,,,,,,,From 09/17/2025 to 11/20/2025
,11/19/2025,10:00 AM,111575-CA,"8900 SEGRUE RD, LAMONT CA, 93241","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,From 09/17/2025 to 11/19/2025
,11/19/2025,01:00 PM,134308-CA,"821 N Humboldt St, San Mateo CA, 94401","MARSHALL ST. ENTRANCE, SAN MATEO COUNTY COURTHOUSE, SOUTHERN BRANCH HALL OF JUSTICE & RECORDS, 400 COUNTY CENTER, REDWOOD CITY, CA 94063",,,,,,,,From 09/10/2025 to 11/19/2025
,11/19/2025,10:00 AM,136286-CA,"441-443 Pheasant Lane, Santa Rosa CA, 95403","IN THE PLAZA AT FREMONT PARK, FREMONT PARK, 860 FIFTH STREET, SANTA ROSA, CA 95401",,,,,,,,
,11/19/2025,09:00 AM,136651-CA,"359 Bahia Street, Perris CA, 92571","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,11/18/2025,09:00 AM,132433-CA,"958 N 5 1/2 Ave, Kingsburg CA, 93631","AT THE FRONT ENTRANCE OF THE ADMINISTRATION BUILDING OF THE KINGS GOVERNMENT CENTER OF THE KINGS GOVERNMENT CENTER, 1400 W. LACEY BOULEVARD, HANFORD, CA 93230",,,,,,,,From 09/23/2025 to 11/18/2025
,11/18/2025,11:00 AM,132494-CA,"4630 Myers Avenue, Eureka CA, 95503","AT THE FRONT ENTRANCE TO THE COUNTY COURTHOUSE, 825 5TH ST., EUREKA, CA 95501",,,,,,,,From 10/07/2025 to 11/18/2025
,11/18/2025,09:00 AM,126147-CA,"1369 West Burgundy Court, Hanford CA, 93230","AT THE FRONT ENTRANCE OF THE ADMINISTRATION BUILDING OF THE KINGS GOVERNMENT CENTER OF THE KINGS GOVERNMENT CENTER, 1400 W. LACEY BOULEVARD, HANFORD, CA 93230",,,,,,,,From 09/23/2025 to 11/18/2025
,11/18/2025,10:30 AM,130370-CA,"26381 Ingleside Way, Malibu CA, 90265","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/16/2025 to 11/18/2025
,11/18/2025,10:30 AM,125898-CA,"219 E Pepper Drive, Long Beach CA, 90807","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 10/07/2025 to 11/18/2025
,11/18/2025,10:00 AM,115521-CA,"9560 Shoshone Ave, Northridge CA, 91325","Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 09/16/2025 to 11/18/2025
,11/14/2025,09:00 AM,133510-CA,"174 Cregar St, Oceanside CA, 92054","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/19/2025 to 11/14/2025
,11/14/2025,09:00 AM,134344-CA,"112 Bay St, Hercules CA, 94547","At the Auction.com Room, Pleasant Hill Community Center, 320 Civic Drive, Pleasant Hill, CA 94523",,,,,,,,From 09/16/2025 to 11/14/2025
,11/18/2025,10:30 AM,120608-CA,"16744 E Bygrove St, Covina CA, 91722","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/16/2025 to 11/18/2025
,11/14/2025,09:00 AM,133322-CA,"9113 Rundelay Way, Sacramento CA, 95826","AT THE EAST MAIN ENTRANCE OF THE GORDON D. SCHABER SACRAMENTO COUNTY COURTHOUSE, 720 9TH STREET, SACRAMENTO CA 95814",,,,,,,,From 09/16/2025 to 11/14/2025
,11/14/2025,09:00 AM,134787-CA,"3313 Ybarra Rd, Spring Valley CA, 91978","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/05/2025 to 11/14/2025
,11/18/2025,10:00 AM,101733-CA,"19642 Pesante Road, Salinas CA, 93907","OUTSIDE THE MAIN ENTRANCE OF THE MONTEREY COUNTY ADMINISTRATION BUILDING LOCATED AT 168 WEST ALISAL STREET, SALINAS, CA 93901",,,,,,,,From 10/14/2025 to 11/18/2025
,11/14/2025,09:00 AM,134705-CA,"57455 Sierra Way, Yucca Valley CA, 92284","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,
,11/14/2025,09:00 AM,133454-CA,"7426 Elata Ave, Yucca Valley CA, 92284","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,
,11/14/2025,09:00 AM,136192-CA,"22909 Eyota Rd, Apple Valley CA, 92308","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,
,11/14/2025,10:30 AM,136793-CA,"4362 E Ball Avenue, Fresno CA, 93702","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,
